rowname,pscis_crossing_id,my_crossing_reference,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,span_input
1,NA,4606515,6.7,0.3,-2.7,13.4
2,NA,4606518,NA,NA,NA,NA
3,NA,20201014100,NA,NA,NA,NA
4,NA,4603294,1.8,1,-2,NA
5,NA,20201016100,NA,NA,NA,NA
6,NA,20201016101,NA,NA,NA,NA
7,NA,4600005,2.7,1.2,-1.8,10
8,NA,4606006,NA,NA,NA,NA
