rowname,pscis_crossing_id,my_road_tenure
5,197555,FLNR 0103
6,197559,MoTi highway
7,197533,MoTi local
8,62423,MoTi unclassified
9,62425,Unknown
10,62426,Canfor R08362
11,50185,FLNR 5466
12,50159,Unknown
13,50155,MoTi recreation
14,62516,MoTi recreation
