rowname,pscis_crossing_id,my_crossing_reference,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,span_input
1,197555,NA,3.5,8,5,25
2,197559,NA,6.1,3,0,12.2
3,197533,NA,7.1,1,-2,14.2
4,62423,NA,1.44,0.3,-2.7,NA
5,62425,NA,3.7,1,-2,10
6,62426,NA,3.5,1,-2,10
7,50185,NA,4.3,1.4,-1.6,10
8,50159,NA,2.45,1,-2,10
9,50155,NA,2.25,0.3,-2.7,10
10,62516,NA,2.47,1.3,-1.7,10
